id,x,y
679,-83.02536534,40.02400362
680,-82.98354938,40.04080328
681,-82.98619573,40.03055234
682,-83.00470679,40.03002234
683,-83.01183595,40.03089181
684,-83.00122846,40.02279888
685,-83.01995026,40.03081901
686,-84.45176321,39.47459171
687,-82.09086928,39.33205606
688,-82.63000375,39.23332988
689,-83.00974381,40.04693228
690,-83.01515552,40.0422611
691,-83.00087363,40.03765713
692,-83.02381843,40.05232195
693,-83.01098224,40.03467173
694,-83.01137207,40.03806773
695,-83.02203146,40.03677617
696,-83.35701629,40.2069944
697,-83.38290688,40.21478637
698,-83.34371076,40.12537266
699,-83.37319438,40.23482623
700,-83.33991308,40.21266244
701,-83.39246149,40.22301684
702,-83.38799401,40.23016991
703,-83.37886768,40.24570579
704,-83.3592128,40.24213309
705,-83.2884464,40.16584672
706,-83.4485757,40.16803384
707,-82.75143691,40.72596661
708,-83.63742284,40.10700726
709,-81.67002944,41.49475842
710,-81.73471039,41.46707553
711,-81.72094935,41.47693142
712,-82.96896553,39.93724184
713,-83.17627497,40.14948107
714,-83.38537597,40.28116389
715,-82.76736991,40.73313894
716,-84.48613055,39.22218872
717,-84.48996924,39.23001425
718,-80.81565898,41.72541506
719,-80.54177571,41.56371672
720,-84.47904514,39.23223733
721,-84.48863064,39.23925891
722,-84.47759896,39.23786097
723,-84.46833317,39.23645554
724,-84.46859233,39.22958974
725,-84.4691469,39.22240647
726,-84.40345208,39.18966986
727,-81.73278498,41.47499394
728,-81.70621478,41.49570688
729,-81.67322817,41.46217295
730,-81.70442534,41.41454005
731,-84.3924175,39.15459005
732,-84.56382825,39.20721437
733,-84.37992914,39.20250765
734,-83.0406512,39.9476513
735,-82.98987569,40.10072538
736,-82.98452724,40.08436634
737,-82.90950007,39.97327622
738,-82.9631174,39.96540477
739,-82.97588124,40.00591292
740,-82.86639021,39.89954007
741,-83.02924842,39.97710726
742,-82.99932572,40.00214585
743,-82.98878115,40.02594088
744,-82.97513969,40.03928335
745,-82.92776012,39.94985594
746,-82.97713533,39.9405016
747,-82.86320444,39.95837293
748,-84.5547065,39.23962476
749,-84.54578893,39.23210392
750,-82.88042982,39.96619578
751,-83.07069608,39.93601873
752,-84.55202603,39.21163208
753,-84.56548849,39.23855396
754,-84.57271602,39.23905539
755,-84.57015171,39.23103788
756,-84.56496576,39.22628058
757,-84.55372304,39.22874576
758,-84.55504418,39.21855582
759,-84.5469185,39.22282134
760,-84.56545531,39.21559238
761,-84.42670374,39.25088315
762,-83.06588417,39.94108538
763,-83.07859496,40.02841842
764,-83.08261519,39.89226821
765,-82.90223496,40.11204254
766,-83.01110811,39.97942598
767,-82.98326791,40.03500628
768,-83.13244039,39.93890777
769,-83.06937944,39.94880407
770,-81.91459362,40.75502443
771,-83.09197318,40.31123648
772,-83.08212812,40.31035589
773,-83.07315713,40.28825962
774,-82.97402783,40.40641935
775,-81.9081505,40.72874939
776,-82.06974405,40.70126685
777,-84.39549496,39.27075033
778,-84.39567539,39.26663163
779,-84.40849154,39.26521296
780,-84.39644767,39.25842955
781,-82.97787984,39.94884208
782,-83.01039657,40.07209469
783,-83.02636347,40.04539531
784,-82.96146826,40.07664871
785,-82.95879174,40.00598517
786,-82.88381835,39.9392411
787,-84.51792688,39.27274537
788,-84.52909812,39.26552863
789,-84.51811222,39.26555703
790,-84.51031791,39.26697599
791,-84.50125528,39.2426178
792,-84.5203509,39.23840636
793,-84.51552708,39.25088421
794,-83.8154815,39.92819341
795,-82.72486613,41.44361946
796,-84.43209012,39.23309239
797,-82.72549319,41.43707317
798,-82.71487767,41.44233593
799,-82.7066072,41.44082318
800,-82.70904108,41.44604319
801,-83.06991265,39.95669212
802,-82.95045309,40.01759163
803,-82.95074402,39.94536879
804,-82.85378144,39.92407466
805,-82.97714571,39.97341756
806,-82.97578909,40.0015601
807,-82.95076069,39.93833495
808,-82.89487165,40.03741282
809,-82.91205927,39.96439266
810,-81.91672384,41.00509055
811,-82.03584303,40.68198059
812,-82.00994738,40.68116786
813,-83.00422892,39.99395578
814,-84.51499965,39.23104824
815,-84.51068193,39.22501747
816,-84.50570542,39.220823
817,-84.52492855,39.21991726
818,-84.52008862,39.22631614
819,-84.5261777,39.22828769
820,-81.46320754,41.57701577
821,-83.00938606,40.02307718
822,-81.85408232,41.12898461
823,-81.8591937,41.12573507
824,-81.87001278,41.16353701
825,-81.87364077,41.10588435
826,-81.85340299,41.11298451
827,-81.83707273,41.11631162
828,-81.84340464,41.12584387
829,-81.82342234,41.11216286
830,-81.92513865,41.04905744
831,-81.7382489,41.05248521
832,-81.87360453,41.14414928
833,-81.76339858,41.02944981
834,-81.87107837,41.15241143
835,-81.94894736,41.21903954
836,-81.85882969,41.26819833
837,-81.73304805,41.03475329
838,-81.86876957,41.25526274
839,-81.7400667,41.03386935
840,-81.76494008,41.04647372
841,-81.7429262,41.0588144
842,-81.89758074,41.15763342
843,-81.87000737,41.24412586
844,-81.86706906,41.14342941
845,-84.35245068,39.19449954
846,-84.36001678,39.19491901
847,-82.95076528,40.05567992
848,-82.97819995,39.94302622
849,-82.89944338,39.9585415
850,-82.97854902,40.08319845
851,-82.97029326,39.94660738
852,-83.11799876,40.12715996
853,-82.89888788,40.11570146
854,-82.89259008,39.84315582
855,-82.98344452,40.0269887
856,-82.8743632,39.9478835
857,-82.89442521,40.03052142
858,-83.01599171,39.99167448
859,-83.08350981,40.1362423
860,-84.35053808,39.28878035
861,-84.76630278,39.21365134
862,-84.73173537,39.20742771
863,-84.78499877,39.16844771
864,-84.4304617,39.13394499
865,-84.55343337,39.23408279
866,-82.44765936,38.42818984
867,-84.32326436,39.2907877
868,-84.50574339,39.26631533
869,-84.50842691,39.28727284
870,-84.51750652,39.28671035
871,-84.51356288,39.27980668
872,-84.50739184,39.29545263
873,-84.51750063,39.29712321
874,-82.58140516,38.41412722
875,-82.56842617,38.41236566
876,-82.46710406,38.42531494
877,-84.29127323,39.11378505
878,-84.04964992,39.15106841
879,-82.32577863,38.55331255
880,-82.48026818,38.42241323
881,-82.38767716,38.44020232
882,-82.40337879,38.45425492
883,-84.2477373,39.12476573
884,-84.29615974,39.09829606
885,-84.25312511,38.95810847
886,-84.0520612,39.10895002
887,-82.63300096,38.49955988
888,-82.45260115,38.4413165
889,-82.48315147,40.39822899
890,-82.48047483,40.39142625
891,-84.45872366,39.16077926
892,-84.46662152,39.15794222
893,-84.45968191,39.15076636
894,-84.46310625,39.1490797
895,-84.50212838,39.12107642
896,-84.5118957,39.12131585
897,-84.51836036,39.12370526
898,-84.52183064,39.12770696
899,-84.50418445,39.12953714
900,-84.48320569,39.13524449
901,-84.05478954,39.0688357
902,-84.13024947,39.23158957
903,-84.08956845,38.97285312
904,-84.28372822,39.1125948
905,-84.52218943,39.12202336
906,-84.47007775,39.13183982
907,-83.79672902,40.70990383
908,-84.22905805,38.91754267
909,-84.21310222,39.22715918
910,-83.69688695,40.57346957
911,-84.31719188,39.08094388
912,-84.33857378,39.08568188
913,-84.31934165,39.0652997
914,-84.51037612,39.29233263
915,-83.6080557,41.56569423
916,-80.80457875,41.24067397
917,-84.28315734,39.21172528
918,-84.29162609,39.24090881
